Município1;UF1;Data;Índice De Isolamento
GUARUJÁ;SP;20/03/2020;49%
GUARULHOS;SP;20/03/2020;44%
HORTOLÂNDIA;SP;20/03/2020;45%
IBIÚNA;SP;20/03/2020;55%
INDAIATUBA;SP;20/03/2020;47%
ITANHAÉM;SP;20/03/2020;53%
ITAPECERICA DA SERRA;SP;20/03/2020;49%
ITAPETININGA;SP;20/03/2020;45%
ITAPEVA;SP;20/03/2020;44%
ITAPEVI;SP;20/03/2020;44%
ITAPIRA;SP;20/03/2020;49%
ITAQUAQUECETUBA;SP;20/03/2020;47%
ITATIBA;SP;20/03/2020;42%
ITU;SP;20/03/2020;42%
JABOTICABAL;SP;20/03/2020;42%
JACAREÍ;SP;20/03/2020;46%
JANDIRA;SP;20/03/2020;42%
JAÚ;SP;20/03/2020;43%
JUNDIAÍ;SP;20/03/2020;42%
LEME;SP;20/03/2020;49%
LIMEIRA;SP;20/03/2020;38%
LINS;SP;20/03/2020;44%
LORENA;SP;20/03/2020;57%
MAIRIPORÃ;SP;20/03/2020;51%
MARÍLIA;SP;20/03/2020;39%
MATÃO;SP;20/03/2020;43%
MAUÁ;SP;20/03/2020;44%
MOGI DAS CRUZES;SP;20/03/2020;45%
MOGI GUAÇU;SP;20/03/2020;46%
MOGI MIRIM;SP;20/03/2020;48%
OSASCO;SP;20/03/2020;45%
OURINHOS;SP;20/03/2020;42%
PAULÍNIA;SP;20/03/2020;46%
PINDAMONHANGABA;SP;20/03/2020;51%
PIRACICABA;SP;20/03/2020;40%
PIRASSUNUNGA;SP;20/03/2020;51%
POÁ;SP;20/03/2020;48%
PRAIA GRANDE;SP;20/03/2020;47%
PRESIDENTE PRUDENTE;SP;20/03/2020;37%
RIBEIRÃO PIRES;SP;20/03/2020;50%
RIBEIRÃO PRETO;SP;20/03/2020;40%
RIO CLARO;SP;20/03/2020;43%
SALTO;SP;20/03/2020;43%
SANTA BÁRBARA D'OESTE;SP;20/03/2020;41%
SANTANA DE PARNAÍBA;SP;20/03/2020;49%
SANTO ANDRÉ;SP;20/03/2020;45%
SANTOS;SP;20/03/2020;45%
SERTÃOZINHO;SP;20/03/2020;45%
SOROCABA;SP;20/03/2020;40%
SUMARÉ;SP;20/03/2020;40%
SUZANO;SP;20/03/2020;46%
SÃO BERNARDO DO CAMPO;SP;20/03/2020;44%
SÃO CAETANO DO SUL;SP;20/03/2020;44%
SÃO CARLOS;SP;20/03/2020;46%
SÃO JOSÉ DO RIO PRETO;SP;20/03/2020;40%
SÃO JOSÉ DOS CAMPOS;SP;20/03/2020;47%
SÃO JOÃO DA BOA VISTA;SP;20/03/2020;51%
SÃO PAULO;SP;20/03/2020;45%
SÃO ROQUE;SP;20/03/2020;48%
SÃO SEBASTIÃO;SP;20/03/2020;60%
SÃO VICENTE;SP;20/03/2020;49%
TABOÃO DA SERRA;SP;20/03/2020;44%
TATUÍ;SP;20/03/2020;46%
TAUBATÉ;SP;20/03/2020;48%
UBATUBA;SP;20/03/2020;62%
VALINHOS;SP;20/03/2020;46%
VINHEDO;SP;20/03/2020;48%
VOTORANTIM;SP;20/03/2020;44%
VOTUPORANGA;SP;20/03/2020;48%
VÁRZEA PAULISTA;SP;20/03/2020;42%
AMERICANA;SP;21/03/2020;57%
AMPARO;SP;21/03/2020;62%
ARARAQUARA;SP;21/03/2020;49%
ARARAS;SP;21/03/2020;56%
ARAÇATUBA;SP;21/03/2020;51%
ARUJÁ;SP;21/03/2020;57%
ASSIS;SP;21/03/2020;54%
ATIBAIA;SP;21/03/2020;56%
AVARÉ;SP;21/03/2020;51%
BARRETOS;SP;21/03/2020;57%
BARUERI;SP;21/03/2020;53%
BAURU;SP;21/03/2020;50%
BEBEDOURO;SP;21/03/2020;68%
BIRIGUI;SP;21/03/2020;53%
BOTUCATU;SP;21/03/2020;53%
BRAGANÇA PAULISTA;SP;21/03/2020;54%
CAIEIRAS;SP;21/03/2020;58%
CAJAMAR;SP;21/03/2020;61%
CAMPINAS;SP;21/03/2020;57%
CAMPO LIMPO PAULISTA;SP;21/03/2020;59%
CARAGUATATUBA;SP;21/03/2020;63%
CARAPICUÍBA;SP;21/03/2020;55%
CATANDUVA;SP;21/03/2020;50%
CAÇAPAVA;SP;21/03/2020;64%
COTIA;SP;21/03/2020;58%
CRUZEIRO;SP;21/03/2020;66%
CUBATÃO;SP;21/03/2020;52%
DIADEMA;SP;21/03/2020;57%
EMBU DAS ARTES;SP;21/03/2020;57%
ESTADO DE SÃO PAULO;SP;21/03/2020;56%
FERRAZ DE VASCONCELOS;SP;21/03/2020;55%
FRANCA;SP;21/03/2020;58%
FRANCISCO MORATO;SP;21/03/2020;54%
FRANCO DA ROCHA;SP;21/03/2020;55%
GUARATINGUETÁ;SP;21/03/2020;60%
GUARUJÁ;SP;21/03/2020;57%
GUARULHOS;SP;21/03/2020;56%
HORTOLÂNDIA;SP;21/03/2020;57%
IBIÚNA;SP;21/03/2020;62%
INDAIATUBA;SP;21/03/2020;59%
ITANHAÉM;SP;21/03/2020;60%
ITAPECERICA DA SERRA;SP;21/03/2020;60%
ITAPETININGA;SP;21/03/2020;53%
ITAPEVA;SP;21/03/2020;53%
ITAPEVI;SP;21/03/2020;56%
ITAPIRA;SP;21/03/2020;61%
ITAQUAQUECETUBA;SP;21/03/2020;58%
ITATIBA;SP;21/03/2020;55%
ITU;SP;21/03/2020;54%
JABOTICABAL;SP;21/03/2020;55%
JACAREÍ;SP;21/03/2020;57%
JANDIRA;SP;21/03/2020;53%
JAÚ;SP;21/03/2020;53%
JUNDIAÍ;SP;21/03/2020;55%
LEME;SP;21/03/2020;60%
LIMEIRA;SP;21/03/2020;51%
LINS;SP;21/03/2020;53%
LORENA;SP;21/03/2020;67%
MAIRIPORÃ;SP;21/03/2020;62%
MARÍLIA;SP;21/03/2020;52%
MATÃO;SP;21/03/2020;55%
MAUÁ;SP;21/03/2020;53%
MOGI DAS CRUZES;SP;21/03/2020;56%
MOGI GUAÇU;SP;21/03/2020;58%
MOGI MIRIM;SP;21/03/2020;59%
OSASCO;SP;21/03/2020;57%
OURINHOS;SP;21/03/2020;50%
PAULÍNIA;SP;21/03/2020;61%
PINDAMONHANGABA;SP;21/03/2020;64%
PIRACICABA;SP;21/03/2020;52%
PIRASSUNUNGA;SP;21/03/2020;60%
POÁ;SP;21/03/2020;59%
PRAIA GRANDE;SP;21/03/2020;55%
PRESIDENTE PRUDENTE;SP;21/03/2020;48%
RIBEIRÃO PIRES;SP;21/03/2020;60%
RIBEIRÃO PRETO;SP;21/03/2020;54%
RIO CLARO;SP;21/03/2020;54%
SALTO;SP;21/03/2020;56%
SANTA BÁRBARA D'OESTE;SP;21/03/2020;52%
SANTANA DE PARNAÍBA;SP;21/03/2020;61%
SANTO ANDRÉ;SP;21/03/2020;56%
SANTOS;SP;21/03/2020;55%
SERTÃOZINHO;SP;21/03/2020;60%
SOROCABA;SP;21/03/2020;52%
SUMARÉ;SP;21/03/2020;55%
SUZANO;SP;21/03/2020;55%
SÃO BERNARDO DO CAMPO;SP;21/03/2020;55%
SÃO CAETANO DO SUL;SP;21/03/2020;56%
SÃO CARLOS;SP;21/03/2020;59%
SÃO JOSÉ DO RIO PRETO;SP;21/03/2020;52%
SÃO JOSÉ DOS CAMPOS;SP;21/03/2020;58%
SÃO JOÃO DA BOA VISTA;SP;21/03/2020;64%
SÃO PAULO;SP;21/03/2020;57%
SÃO ROQUE;SP;21/03/2020;60%
SÃO SEBASTIÃO;SP;21/03/2020;71%
SÃO VICENTE;SP;21/03/2020;58%
TABOÃO DA SERRA;SP;21/03/2020;55%
TATUÍ;SP;21/03/2020;54%
TAUBATÉ;SP;21/03/2020;59%
UBATUBA;SP;21/03/2020;71%
VALINHOS;SP;21/03/2020;60%
VINHEDO;SP;21/03/2020;63%
VOTORANTIM;SP;21/03/2020;55%
VOTUPORANGA;SP;21/03/2020;60%
VÁRZEA PAULISTA;SP;21/03/2020;55%
AMERICANA;SP;22/03/2020;56%
AMPARO;SP;22/03/2020;58%
ARARAQUARA;SP;22/03/2020;51%
ARARAS;SP;22/03/2020;56%
ARAÇATUBA;SP;22/03/2020;51%
ARUJÁ;SP;22/03/2020;55%
ASSIS;SP;22/03/2020;55%
ATIBAIA;SP;22/03/2020;58%
AVARÉ;SP;22/03/2020;57%
BARRETOS;SP;22/03/2020;55%
BARUERI;SP;22/03/2020;51%
BAURU;SP;22/03/2020;52%
BEBEDOURO;SP;22/03/2020;67%
BIRIGUI;SP;22/03/2020;53%
BOTUCATU;SP;22/03/2020;54%
BRAGANÇA PAULISTA;SP;22/03/2020;55%
CAIEIRAS;SP;22/03/2020;57%
CAJAMAR;SP;22/03/2020;54%
CAMPINAS;SP;22/03/2020;57%
CAMPO LIMPO PAULISTA;SP;22/03/2020;59%
CARAGUATATUBA;SP;22/03/2020;65%
CARAPICUÍBA;SP;22/03/2020;57%
CATANDUVA;SP;22/03/2020;49%
CAÇAPAVA;SP;22/03/2020;62%
COTIA;SP;22/03/2020;60%
CRUZEIRO;SP;22/03/2020;63%
CUBATÃO;SP;22/03/2020;51%
DIADEMA;SP;22/03/2020;57%
EMBU DAS ARTES;SP;22/03/2020;57%
ESTADO DE SÃO PAULO;SP;22/03/2020;56%
FERRAZ DE VASCONCELOS;SP;22/03/2020;57%
FRANCA;SP;22/03/2020;58%
FRANCISCO MORATO;SP;22/03/2020;55%
FRANCO DA ROCHA;SP;22/03/2020;55%
GUARATINGUETÁ;SP;22/03/2020;58%
GUARUJÁ;SP;22/03/2020;60%
GUARULHOS;SP;22/03/2020;56%
HORTOLÂNDIA;SP;22/03/2020;58%
IBIÚNA;SP;22/03/2020;66%
INDAIATUBA;SP;22/03/2020;59%
ITANHAÉM;SP;22/03/2020;63%
ITAPECERICA DA SERRA;SP;22/03/2020;62%
ITAPETININGA;SP;22/03/2020;54%
ITAPEVA;SP;22/03/2020;53%
ITAPEVI;SP;22/03/2020;56%
ITAPIRA;SP;22/03/2020;57%
ITAQUAQUECETUBA;SP;22/03/2020;60%
ITATIBA;SP;22/03/2020;55%
ITU;SP;22/03/2020;54%
JABOTICABAL;SP;22/03/2020;53%
JACAREÍ;SP;22/03/2020;57%
JANDIRA;SP;22/03/2020;57%
JAÚ;SP;22/03/2020;53%
JUNDIAÍ;SP;22/03/2020;53%
LEME;SP;22/03/2020;58%
LIMEIRA;SP;22/03/2020;50%
LINS;SP;22/03/2020;52%
LORENA;SP;22/03/2020;65%
MAIRIPORÃ;SP;22/03/2020;63%
MARÍLIA;SP;22/03/2020;53%
MATÃO;SP;22/03/2020;54%
MAUÁ;SP;22/03/2020;56%
MOGI DAS CRUZES;SP;22/03/2020;58%
MOGI GUAÇU;SP;22/03/2020;57%
MOGI MIRIM;SP;22/03/2020;57%
OSASCO;SP;22/03/2020;57%
OURINHOS;SP;22/03/2020;52%
PAULÍNIA;SP;22/03/2020;59%
PINDAMONHANGABA;SP;22/03/2020;62%
PIRACICABA;SP;22/03/2020;52%
PIRASSUNUNGA;SP;22/03/2020;59%
POÁ;SP;22/03/2020;60%
PRAIA GRANDE;SP;22/03/2020;58%
PRESIDENTE PRUDENTE;SP;22/03/2020;49%
RIBEIRÃO PIRES;SP;22/03/2020;63%
RIBEIRÃO PRETO;SP;22/03/2020;54%
RIO CLARO;SP;22/03/2020;53%
SALTO;SP;22/03/2020;55%
SANTA BÁRBARA D'OESTE;SP;22/03/2020;54%
SANTANA DE PARNAÍBA;SP;22/03/2020;60%
SANTO ANDRÉ;SP;22/03/2020;57%
SANTOS;SP;22/03/2020;56%
SERTÃOZINHO;SP;22/03/2020;59%
SOROCABA;SP;22/03/2020;52%
SUMARÉ;SP;22/03/2020;54%
SUZANO;SP;22/03/2020;57%
SÃO BERNARDO DO CAMPO;SP;22/03/2020;56%
SÃO CAETANO DO SUL;SP;22/03/2020;56%
SÃO CARLOS;SP;22/03/2020;58%
SÃO JOSÉ DO RIO PRETO;SP;22/03/2020;51%
SÃO JOSÉ DOS CAMPOS;SP;22/03/2020;57%
SÃO JOÃO DA BOA VISTA;SP;22/03/2020;64%
SÃO PAULO;SP;22/03/2020;56%
SÃO ROQUE;SP;22/03/2020;61%
SÃO SEBASTIÃO;SP;22/03/2020;73%
SÃO VICENTE;SP;22/03/2020;62%
TABOÃO DA SERRA;SP;22/03/2020;56%
TATUÍ;SP;22/03/2020;55%
TAUBATÉ;SP;22/03/2020;57%
UBATUBA;SP;22/03/2020;70%
VALINHOS;SP;22/03/2020;58%
VINHEDO;SP;22/03/2020;61%
VOTORANTIM;SP;22/03/2020;57%
VOTUPORANGA;SP;22/03/2020;59%
VÁRZEA PAULISTA;SP;22/03/2020;55%
AMERICANA;SP;23/03/2020;51%
AMPARO;SP;23/03/2020;55%
ARARAQUARA;SP;23/03/2020;47%
ARARAS;SP;23/03/2020;52%
ARAÇATUBA;SP;23/03/2020;47%
ARUJÁ;SP;23/03/2020;51%
ASSIS;SP;23/03/2020;52%
ATIBAIA;SP;23/03/2020;54%
AVARÉ;SP;23/03/2020;55%
BARRETOS;SP;23/03/2020;52%
BARUERI;SP;23/03/2020;47%
BAURU;SP;23/03/2020;47%
BEBEDOURO;SP;23/03/2020;62%
BIRIGUI;SP;23/03/2020;52%
BOTUCATU;SP;23/03/2020;52%
BRAGANÇA PAULISTA;SP;23/03/2020;51%
CAIEIRAS;SP;23/03/2020;52%
CAJAMAR;SP;23/03/2020;55%
CAMPINAS;SP;23/03/2020;52%
CAMPO LIMPO PAULISTA;SP;23/03/2020;54%
CARAGUATATUBA;SP;23/03/2020;60%
CARAPICUÍBA;SP;23/03/2020;52%
CATANDUVA;SP;23/03/2020;45%
CAÇAPAVA;SP;23/03/2020;60%
COTIA;SP;23/03/2020;56%
CRUZEIRO;SP;23/03/2020;63%
CUBATÃO;SP;23/03/2020;44%
DIADEMA;SP;23/03/2020;54%
EMBU DAS ARTES;SP;23/03/2020;53%
ESTADO DE SÃO PAULO;SP;23/03/2020;52%
FERRAZ DE VASCONCELOS;SP;23/03/2020;50%
FRANCA;SP;23/03/2020;53%
FRANCISCO MORATO;SP;23/03/2020;51%
FRANCO DA ROCHA;SP;23/03/2020;53%
GUARATINGUETÁ;SP;23/03/2020;55%
GUARUJÁ;SP;23/03/2020;56%
GUARULHOS;SP;23/03/2020;52%
HORTOLÂNDIA;SP;23/03/2020;52%
IBIÚNA;SP;23/03/2020;64%
INDAIATUBA;SP;23/03/2020;55%
ITANHAÉM;SP;23/03/2020;59%
ITAPECERICA DA SERRA;SP;23/03/2020;56%
ITAPETININGA;SP;23/03/2020;51%
ITAPEVA;SP;23/03/2020;52%
ITAPEVI;SP;23/03/2020;53%
ITAPIRA;SP;23/03/2020;54%
ITAQUAQUECETUBA;SP;23/03/2020;56%
ITATIBA;SP;23/03/2020;50%
ITU;SP;23/03/2020;50%
JABOTICABAL;SP;23/03/2020;53%
JACAREÍ;SP;23/03/2020;53%
JANDIRA;SP;23/03/2020;50%
JAÚ;SP;23/03/2020;51%
JUNDIAÍ;SP;23/03/2020;50%
LEME;SP;23/03/2020;56%
LIMEIRA;SP;23/03/2020;45%
LINS;SP;23/03/2020;50%
LORENA;SP;23/03/2020;63%
MAIRIPORÃ;SP;23/03/2020;60%
MARÍLIA;SP;23/03/2020;50%
MATÃO;SP;23/03/2020;52%
MAUÁ;SP;23/03/2020;51%
MOGI DAS CRUZES;SP;23/03/2020;54%
MOGI GUAÇU;SP;23/03/2020;53%
MOGI MIRIM;SP;23/03/2020;54%
OSASCO;SP;23/03/2020;53%
OURINHOS;SP;23/03/2020;48%
PAULÍNIA;SP;23/03/2020;53%
PINDAMONHANGABA;SP;23/03/2020;58%
PIRACICABA;SP;23/03/2020;48%
PIRASSUNUNGA;SP;23/03/2020;58%
POÁ;SP;23/03/2020;56%
PRAIA GRANDE;SP;23/03/2020;52%
PRESIDENTE PRUDENTE;SP;23/03/2020;46%
RIBEIRÃO PIRES;SP;23/03/2020;59%
RIBEIRÃO PRETO;SP;23/03/2020;48%
RIO CLARO;SP;23/03/2020;49%
SALTO;SP;23/03/2020;49%
SANTA BÁRBARA D'OESTE;SP;23/03/2020;48%
SANTANA DE PARNAÍBA;SP;23/03/2020;56%
SANTO ANDRÉ;SP;23/03/2020;53%
SANTOS;SP;23/03/2020;52%
SERTÃOZINHO;SP;23/03/2020;54%
SOROCABA;SP;23/03/2020;49%
SUMARÉ;SP;23/03/2020;48%
SUZANO;SP;23/03/2020;54%
SÃO BERNARDO DO CAMPO;SP;23/03/2020;52%
SÃO CAETANO DO SUL;SP;23/03/2020;53%
SÃO CARLOS;SP;23/03/2020;55%
SÃO JOSÉ DO RIO PRETO;SP;23/03/2020;47%
SÃO JOSÉ DOS CAMPOS;SP;23/03/2020;52%
SÃO JOÃO DA BOA VISTA;SP;23/03/2020;59%
SÃO PAULO;SP;23/03/2020;53%
SÃO ROQUE;SP;23/03/2020;57%
SÃO SEBASTIÃO;SP;23/03/2020;68%
SÃO VICENTE;SP;23/03/2020;56%
TABOÃO DA SERRA;SP;23/03/2020;52%
TATUÍ;SP;23/03/2020;53%
TAUBATÉ;SP;23/03/2020;55%
UBATUBA;SP;23/03/2020;67%
VALINHOS;SP;23/03/2020;54%
VINHEDO;SP;23/03/2020;56%
VOTORANTIM;SP;23/03/2020;52%
VOTUPORANGA;SP;23/03/2020;57%
VÁRZEA PAULISTA;SP;23/03/2020;50%
AMERICANA;SP;24/03/2020;53%
AMPARO;SP;24/03/2020;55%
ARARAQUARA;SP;24/03/2020;49%
ARARAS;SP;24/03/2020;53%
ARAÇATUBA;SP;24/03/2020;49%
ARUJÁ;SP;24/03/2020;51%
ASSIS;SP;24/03/2020;54%
ATIBAIA;SP;24/03/2020;56%
AVARÉ;SP;24/03/2020;53%
BARRETOS;SP;24/03/2020;52%
BARUERI;SP;24/03/2020;49%
BAURU;SP;24/03/2020;47%
BEBEDOURO;SP;24/03/2020;63%
BIRIGUI;SP;24/03/2020;54%
BOTUCATU;SP;24/03/2020;52%
BRAGANÇA PAULISTA;SP;24/03/2020;50%
CAIEIRAS;SP;24/03/2020;54%
CAJAMAR;SP;24/03/2020;56%
CAMPINAS;SP;24/03/2020;54%
CAMPO LIMPO PAULISTA;SP;24/03/2020;56%
CARAGUATATUBA;SP;24/03/2020;62%
CARAPICUÍBA;SP;24/03/2020;54%
CATANDUVA;SP;24/03/2020;46%
CAÇAPAVA;SP;24/03/2020;61%
COTIA;SP;24/03/2020;57%
CRUZEIRO;SP;24/03/2020;63%
CUBATÃO;SP;24/03/2020;45%
DIADEMA;SP;24/03/2020;55%
EMBU DAS ARTES;SP;24/03/2020;54%
ESTADO DE SÃO PAULO;SP;24/03/2020;54%
FERRAZ DE VASCONCELOS;SP;24/03/2020;54%
FRANCA;SP;24/03/2020;53%
FRANCISCO MORATO;SP;24/03/2020;50%
FRANCO DA ROCHA;SP;24/03/2020;53%
GUARATINGUETÁ;SP;24/03/2020;57%
GUARUJÁ;SP;24/03/2020;57%
GUARULHOS;SP;24/03/2020;53%
HORTOLÂNDIA;SP;24/03/2020;54%
IBIÚNA;SP;24/03/2020;67%
INDAIATUBA;SP;24/03/2020;56%
ITANHAÉM;SP;24/03/2020;61%
ITAPECERICA DA SERRA;SP;24/03/2020;58%
ITAPETININGA;SP;24/03/2020;53%
ITAPEVA;SP;24/03/2020;53%
ITAPEVI;SP;24/03/2020;54%
ITAPIRA;SP;24/03/2020;54%
ITAQUAQUECETUBA;SP;24/03/2020;57%
ITATIBA;SP;24/03/2020;50%
ITU;SP;24/03/2020;53%
JABOTICABAL;SP;24/03/2020;53%
JACAREÍ;SP;24/03/2020;56%
JANDIRA;SP;24/03/2020;51%
JAÚ;SP;24/03/2020;52%
JUNDIAÍ;SP;24/03/2020;51%
LEME;SP;24/03/2020;56%
LIMEIRA;SP;24/03/2020;46%
LINS;SP;24/03/2020;48%
LORENA;SP;24/03/2020;64%
MAIRIPORÃ;SP;24/03/2020;61%
MARÍLIA;SP;24/03/2020;51%
MATÃO;SP;24/03/2020;52%
MAUÁ;SP;24/03/2020;53%
MOGI DAS CRUZES;SP;24/03/2020;56%
MOGI GUAÇU;SP;24/03/2020;55%
MOGI MIRIM;SP;24/03/2020;55%
OSASCO;SP;24/03/2020;54%
OURINHOS;SP;24/03/2020;51%
PAULÍNIA;SP;24/03/2020;53%
PINDAMONHANGABA;SP;24/03/2020;59%
PIRACICABA;SP;24/03/2020;51%
PIRASSUNUNGA;SP;24/03/2020;58%
POÁ;SP;24/03/2020;58%
PRAIA GRANDE;SP;24/03/2020;54%
PRESIDENTE PRUDENTE;SP;24/03/2020;47%
RIBEIRÃO PIRES;SP;24/03/2020;61%
RIBEIRÃO PRETO;SP;24/03/2020;50%
RIO CLARO;SP;24/03/2020;51%
SALTO;SP;24/03/2020;53%
SANTA BÁRBARA D'OESTE;SP;24/03/2020;51%
SANTANA DE PARNAÍBA;SP;24/03/2020;58%
SANTO ANDRÉ;SP;24/03/2020;55%
SANTOS;SP;24/03/2020;53%
SERTÃOZINHO;SP;24/03/2020;55%
SOROCABA;SP;24/03/2020;51%
SUMARÉ;SP;24/03/2020;50%
SUZANO;SP;24/03/2020;55%
SÃO BERNARDO DO CAMPO;SP;24/03/2020;54%
SÃO CAETANO DO SUL;SP;24/03/2020;54%
SÃO CARLOS;SP;24/03/2020;56%
SÃO JOSÉ DO RIO PRETO;SP;24/03/2020;49%
SÃO JOSÉ DOS CAMPOS;SP;24/03/2020;55%
SÃO JOÃO DA BOA VISTA;SP;24/03/2020;61%
SÃO PAULO;SP;24/03/2020;55%
SÃO ROQUE;SP;24/03/2020;59%
SÃO SEBASTIÃO;SP;24/03/2020;71%
SÃO VICENTE;SP;24/03/2020;57%
TABOÃO DA SERRA;SP;24/03/2020;53%
TATUÍ;SP;24/03/2020;54%
TAUBATÉ;SP;24/03/2020;56%
UBATUBA;SP;24/03/2020;69%
VALINHOS;SP;24/03/2020;55%
VINHEDO;SP;24/03/2020;58%
VOTORANTIM;SP;24/03/2020;55%
VOTUPORANGA;SP;24/03/2020;57%
VÁRZEA PAULISTA;SP;24/03/2020;51%
AMERICANA;SP;25/03/2020;54%
AMPARO;SP;25/03/2020;55%
ARARAQUARA;SP;25/03/2020;51%
ARARAS;SP;25/03/2020;54%
ARAÇATUBA;SP;25/03/2020;48%
ARUJÁ;SP;25/03/2020;54%
ASSIS;SP;25/03/2020;54%
ATIBAIA;SP;25/03/2020;56%
AVARÉ;SP;25/03/2020;55%
BARRETOS;SP;25/03/2020;52%
BARUERI;SP;25/03/2020;50%
BAURU;SP;25/03/2020;48%
BEBEDOURO;SP;25/03/2020;63%
BIRIGUI;SP;25/03/2020;54%
BOTUCATU;SP;25/03/2020;52%
BRAGANÇA PAULISTA;SP;25/03/2020;51%
CAIEIRAS;SP;25/03/2020;53%
CAJAMAR;SP;25/03/2020;56%
CAMPINAS;SP;25/03/2020;55%
CAMPO LIMPO PAULISTA;SP;25/03/2020;55%
CARAGUATATUBA;SP;25/03/2020;64%
CARAPICUÍBA;SP;25/03/2020;54%
CATANDUVA;SP;25/03/2020;47%
CAÇAPAVA;SP;25/03/2020;62%
COTIA;SP;25/03/2020;57%
CRUZEIRO;SP;25/03/2020;65%
CUBATÃO;SP;25/03/2020;46%
DIADEMA;SP;25/03/2020;56%
EMBU DAS ARTES;SP;25/03/2020;52%
ESTADO DE SÃO PAULO;SP;25/03/2020;54%
FERRAZ DE VASCONCELOS;SP;25/03/2020;54%
FRANCA;SP;25/03/2020;54%
FRANCISCO MORATO;SP;25/03/2020;52%
FRANCO DA ROCHA;SP;25/03/2020;53%
GUARATINGUETÁ;SP;25/03/2020;58%
GUARUJÁ;SP;25/03/2020;57%
GUARULHOS;SP;25/03/2020;54%
HORTOLÂNDIA;SP;25/03/2020;55%
IBIÚNA;SP;25/03/2020;66%
INDAIATUBA;SP;25/03/2020;57%
ITANHAÉM;SP;25/03/2020;61%
ITAPECERICA DA SERRA;SP;25/03/2020;59%
ITAPETININGA;SP;25/03/2020;53%
ITAPEVA;SP;25/03/2020;53%
ITAPEVI;SP;25/03/2020;54%
ITAPIRA;SP;25/03/2020;56%
ITAQUAQUECETUBA;SP;25/03/2020;58%
ITATIBA;SP;25/03/2020;52%
ITU;SP;25/03/2020;53%
JABOTICABAL;SP;25/03/2020;52%
JACAREÍ;SP;25/03/2020;54%
JANDIRA;SP;25/03/2020;51%
JAÚ;SP;25/03/2020;52%
JUNDIAÍ;SP;25/03/2020;51%
LEME;SP;25/03/2020;57%
LIMEIRA;SP;25/03/2020;48%
LINS;SP;25/03/2020;51%
LORENA;SP;25/03/2020;64%
MAIRIPORÃ;SP;25/03/2020;62%
MARÍLIA;SP;25/03/2020;50%
MATÃO;SP;25/03/2020;52%
MAUÁ;SP;25/03/2020;54%
MOGI DAS CRUZES;SP;25/03/2020;56%
MOGI GUAÇU;SP;25/03/2020;55%
MOGI MIRIM;SP;25/03/2020;56%
OSASCO;SP;25/03/2020;54%
OURINHOS;SP;25/03/2020;51%
PAULÍNIA;SP;25/03/2020;56%
PINDAMONHANGABA;SP;25/03/2020;61%
PIRACICABA;SP;25/03/2020;52%
PIRASSUNUNGA;SP;25/03/2020;59%
POÁ;SP;25/03/2020;58%
PRAIA GRANDE;SP;25/03/2020;55%
PRESIDENTE PRUDENTE;SP;25/03/2020;47%
RIBEIRÃO PIRES;SP;25/03/2020;62%
RIBEIRÃO PRETO;SP;25/03/2020;52%
RIO CLARO;SP;25/03/2020;53%
SALTO;SP;25/03/2020;53%
SANTA BÁRBARA D'OESTE;SP;25/03/2020;52%
SANTANA DE PARNAÍBA;SP;25/03/2020;59%
SANTO ANDRÉ;SP;25/03/2020;55%
SANTOS;SP;25/03/2020;54%
SERTÃOZINHO;SP;25/03/2020;56%
SOROCABA;SP;25/03/2020;52%
SUMARÉ;SP;25/03/2020;50%
SUZANO;SP;25/03/2020;56%
SÃO BERNARDO DO CAMPO;SP;25/03/2020;54%
SÃO CAETANO DO SUL;SP;25/03/2020;55%
SÃO CARLOS;SP;25/03/2020;59%
SÃO JOSÉ DO RIO PRETO;SP;25/03/2020;51%
SÃO JOSÉ DOS CAMPOS;SP;25/03/2020;55%
SÃO JOÃO DA BOA VISTA;SP;25/03/2020;60%
SÃO PAULO;SP;25/03/2020;55%
SÃO ROQUE;SP;25/03/2020;59%
SÃO SEBASTIÃO;SP;25/03/2020;72%
SÃO VICENTE;SP;25/03/2020;58%
TABOÃO DA SERRA;SP;25/03/2020;54%
TATUÍ;SP;25/03/2020;54%
TAUBATÉ;SP;25/03/2020;57%
UBATUBA;SP;25/03/2020;69%
VALINHOS;SP;25/03/2020;56%
VINHEDO;SP;25/03/2020;59%
VOTORANTIM;SP;25/03/2020;56%
VOTUPORANGA;SP;25/03/2020;57%
VÁRZEA PAULISTA;SP;25/03/2020;51%
AMERICANA;SP;26/03/2020;54%
AMPARO;SP;26/03/2020;54%
ARARAQUARA;SP;26/03/2020;50%
ARARAS;SP;26/03/2020;53%
ARAÇATUBA;SP;26/03/2020;48%
ARUJÁ;SP;26/03/2020;53%
ASSIS;SP;26/03/2020;54%
ATIBAIA;SP;26/03/2020;56%
AVARÉ;SP;26/03/2020;55%
BARRETOS;SP;26/03/2020;51%
BARUERI;SP;26/03/2020;50%
BAURU;SP;26/03/2020;48%
BEBEDOURO;SP;26/03/2020;62%
BIRIGUI;SP;26/03/2020;53%
BOTUCATU;SP;26/03/2020;51%
BRAGANÇA PAULISTA;SP;26/03/2020;50%
CAIEIRAS;SP;26/03/2020;53%
CAJAMAR;SP;26/03/2020;55%
CAMPINAS;SP;26/03/2020;54%
CAMPO LIMPO PAULISTA;SP;26/03/2020;55%
CARAGUATATUBA;SP;26/03/2020;63%
