Município1;UF1;Data;Índice De Isolamento
CAIEIRAS;SP;24/05/2020;54%
CAJAMAR;SP;24/05/2020;57%
CAMPINAS;SP;24/05/2020;54%
CAMPO LIMPO PAULISTA;SP;24/05/2020;51%
CARAGUATATUBA;SP;24/05/2020;58%
CARAPICUÍBA;SP;24/05/2020;51%
CATANDUVA;SP;24/05/2020;49%
COTIA;SP;24/05/2020;55%
CRUZEIRO;SP;24/05/2020;52%
CUBATÃO;SP;24/05/2020;54%
DIADEMA;SP;24/05/2020;50%
FERRAZ DE VASCONCELOS;SP;24/05/2020;49%
FRANCA;SP;24/05/2020;47%
FRANCISCO MORATO;SP;24/05/2020;52%
FRANCO DA ROCHA;SP;24/05/2020;49%
GUARULHOS;SP;24/05/2020;53%
GUARATINGUETÁ;SP;24/05/2020;50%
GUARUJÁ;SP;24/05/2020;54%
HORTOLÂNDIA;SP;24/05/2020;49%
IBIÚNA;SP;24/05/2020;63%
INDAIATUBA;SP;24/05/2020;55%
ITANHAÉM;SP;24/05/2020;55%
ITAPECERICA DA SERRA;SP;24/05/2020;54%
ITAPETININGA;SP;24/05/2020;52%
ITAPEVA;SP;24/05/2020;50%
ITAPEVI;SP;24/05/2020;50%
ITAPIRA;SP;24/05/2020;52%
ITAQUAQUECETUBA;SP;24/05/2020;51%
ITATIBA;SP;24/05/2020;52%
ITU;SP;24/05/2020;53%
JABOTICABAL;SP;24/05/2020;53%
JACAREÍ;SP;24/05/2020;55%
JANDIRA;SP;24/05/2020;46%
JAÚ;SP;24/05/2020;50%
LEME;SP;24/05/2020;54%
JUNDIAÍ;SP;24/05/2020;52%
LIMEIRA;SP;24/05/2020;49%
LINS;SP;24/05/2020;49%
LORENA;SP;24/05/2020;51%
MAIRIPORÃ;SP;24/05/2020;57%
MARÍLIA;SP;24/05/2020;50%
MATÃO;SP;24/05/2020;51%
MAUÁ;SP;24/05/2020;50%
MOGI DAS CRUZES;SP;24/05/2020;56%
MOGI GUAÇU;SP;24/05/2020;53%
MOGI MIRIM;SP;24/05/2020;57%
OSASCO;SP;24/05/2020;53%
OURINHOS;SP;24/05/2020;50%
PAULÍNIA;SP;24/05/2020;52%
PRAIA GRANDE;SP;24/05/2020;54%
PINDAMONHANGABA;SP;24/05/2020;54%
PIRACICABA;SP;24/05/2020;50%
PIRASSUNUNGA;SP;24/05/2020;56%
POÁ;SP;24/05/2020;51%
RIBEIRÃO PIRES;SP;24/05/2020;56%
RIBEIRÃO PRETO;SP;24/05/2020;52%
RIO CLARO;SP;24/05/2020;53%
SALTO;SP;24/05/2020;51%
SANTA BÁRBARA D'OESTE;SP;24/05/2020;47%
SANTANA DE PARNAÍBA;SP;24/05/2020;60%
SANTO ANDRÉ;SP;24/05/2020;54%
SANTOS;SP;24/05/2020;53%
SÃO BERNARDO DO CAMPO;SP;24/05/2020;52%
SÃO CAETANO DO SUL;SP;24/05/2020;53%
SÃO CARLOS;SP;24/05/2020;55%
SÃO JOÃO DA BOA VISTA;SP;24/05/2020;56%
SÃO JOSÉ DO RIO PRETO;SP;24/05/2020;50%
SÃO JOSÉ DOS CAMPOS;SP;24/05/2020;56%
SÃO PAULO;SP;24/05/2020;57%
SÃO ROQUE;SP;24/05/2020;58%
SÃO SEBASTIÃO;SP;24/05/2020;67%
SÃO VICENTE;SP;24/05/2020;54%
SERTÃOZINHO;SP;24/05/2020;51%
SOROCABA;SP;24/05/2020;50%
SUMARÉ;SP;24/05/2020;51%
SUZANO;SP;24/05/2020;51%
TABOÃO DA SERRA;SP;24/05/2020;52%
TATUÍ;SP;24/05/2020;52%
TAUBATÉ;SP;24/05/2020;52%
UBATUBA;SP;24/05/2020;62%
VALINHOS;SP;24/05/2020;55%
VÁRZEA PAULISTA;SP;24/05/2020;51%
VINHEDO;SP;24/05/2020;55%
VOTORANTIM;SP;24/05/2020;53%
VOTUPORANGA;SP;24/05/2020;54%
PRESIDENTE PRUDENTE;SP;24/05/2020;50%
ESTADO DE SÃO PAULO;SP;24/05/2020;55%
EMBU DAS ARTES;SP;23/05/2020;51%
AMERICANA;SP;23/05/2020;46%
AMPARO;SP;23/05/2020;47%
ARAÇATUBA;SP;23/05/2020;43%
ARARAQUARA;SP;23/05/2020;45%
ARARAS;SP;23/05/2020;46%
ARUJÁ;SP;23/05/2020;49%
ASSIS;SP;23/05/2020;48%
ATIBAIA;SP;23/05/2020;49%
AVARÉ;SP;23/05/2020;50%
BARRETOS;SP;23/05/2020;43%
BARUERI;SP;23/05/2020;47%
BAURU;SP;23/05/2020;46%
BEBEDOURO;SP;23/05/2020;49%
BIRIGUI;SP;23/05/2020;45%
BOTUCATU;SP;23/05/2020;46%
BRAGANÇA PAULISTA;SP;23/05/2020;46%
CAÇAPAVA;SP;23/05/2020;53%
CAIEIRAS;SP;23/05/2020;48%
CAJAMAR;SP;23/05/2020;48%
CAMPINAS;SP;23/05/2020;50%
CAMPO LIMPO PAULISTA;SP;23/05/2020;47%
CARAGUATATUBA;SP;23/05/2020;54%
CARAPICUÍBA;SP;23/05/2020;47%
CATANDUVA;SP;23/05/2020;43%
COTIA;SP;23/05/2020;51%
CRUZEIRO;SP;23/05/2020;52%
CUBATÃO;SP;23/05/2020;44%
DIADEMA;SP;23/05/2020;48%
FERRAZ DE VASCONCELOS;SP;23/05/2020;47%
FRANCA;SP;23/05/2020;45%
FRANCISCO MORATO;SP;23/05/2020;48%
FRANCO DA ROCHA;SP;23/05/2020;46%
GUARULHOS;SP;23/05/2020;49%
GUARATINGUETÁ;SP;23/05/2020;47%
GUARUJÁ;SP;23/05/2020;51%
HORTOLÂNDIA;SP;23/05/2020;46%
IBIÚNA;SP;23/05/2020;58%
INDAIATUBA;SP;23/05/2020;50%
ITANHAÉM;SP;23/05/2020;52%
ITAPECERICA DA SERRA;SP;23/05/2020;50%
ITAPETININGA;SP;23/05/2020;46%
ITAPEVA;SP;23/05/2020;47%
ITAPEVI;SP;23/05/2020;46%
ITAPIRA;SP;23/05/2020;49%
ITAQUAQUECETUBA;SP;23/05/2020;49%
ITATIBA;SP;23/05/2020;47%
ITU;SP;23/05/2020;47%
JABOTICABAL;SP;23/05/2020;46%
JACAREÍ;SP;23/05/2020;51%
JANDIRA;SP;23/05/2020;43%
JAÚ;SP;23/05/2020;45%
LEME;SP;23/05/2020;51%
JUNDIAÍ;SP;23/05/2020;46%
LIMEIRA;SP;23/05/2020;44%
LINS;SP;23/05/2020;46%
LORENA;SP;23/05/2020;50%
MAIRIPORÃ;SP;23/05/2020;53%
MARÍLIA;SP;23/05/2020;44%
MATÃO;SP;23/05/2020;46%
MAUÁ;SP;23/05/2020;47%
MOGI DAS CRUZES;SP;23/05/2020;51%
MOGI GUAÇU;SP;23/05/2020;47%
MOGI MIRIM;SP;23/05/2020;51%
OSASCO;SP;23/05/2020;49%
OURINHOS;SP;23/05/2020;44%
PAULÍNIA;SP;23/05/2020;46%
PRAIA GRANDE;SP;23/05/2020;51%
PINDAMONHANGABA;SP;23/05/2020;50%
PIRACICABA;SP;23/05/2020;45%
PIRASSUNUNGA;SP;23/05/2020;51%
POÁ;SP;23/05/2020;47%
RIBEIRÃO PIRES;SP;23/05/2020;51%
RIBEIRÃO PRETO;SP;23/05/2020;47%
RIO CLARO;SP;23/05/2020;47%
SALTO;SP;23/05/2020;46%
SANTA BÁRBARA D'OESTE;SP;23/05/2020;43%
SANTANA DE PARNAÍBA;SP;23/05/2020;53%
SANTO ANDRÉ;SP;23/05/2020;50%
SANTOS;SP;23/05/2020;49%
SÃO BERNARDO DO CAMPO;SP;23/05/2020;50%
SÃO CAETANO DO SUL;SP;23/05/2020;49%
SÃO CARLOS;SP;23/05/2020;49%
SÃO JOÃO DA BOA VISTA;SP;23/05/2020;51%
SÃO JOSÉ DO RIO PRETO;SP;23/05/2020;45%
SÃO JOSÉ DOS CAMPOS;SP;23/05/2020;51%
SÃO PAULO;SP;23/05/2020;53%
SÃO ROQUE;SP;23/05/2020;52%
SÃO SEBASTIÃO;SP;23/05/2020;65%
SÃO VICENTE;SP;23/05/2020;51%
SERTÃOZINHO;SP;23/05/2020;47%
SOROCABA;SP;23/05/2020;46%
SUMARÉ;SP;23/05/2020;46%
SUZANO;SP;23/05/2020;49%
TABOÃO DA SERRA;SP;23/05/2020;48%
TATUÍ;SP;23/05/2020;47%
TAUBATÉ;SP;23/05/2020;48%
UBATUBA;SP;23/05/2020;60%
VALINHOS;SP;23/05/2020;50%
VÁRZEA PAULISTA;SP;23/05/2020;45%
VINHEDO;SP;23/05/2020;52%
VOTORANTIM;SP;23/05/2020;48%
VOTUPORANGA;SP;23/05/2020;48%
PRESIDENTE PRUDENTE;SP;23/05/2020;44%
ESTADO DE SÃO PAULO;SP;23/05/2020;51%
EMBU DAS ARTES;SP;22/05/2020;47%
AMERICANA;SP;22/05/2020;44%
AMPARO;SP;22/05/2020;44%
ARAÇATUBA;SP;22/05/2020;39%
ARARAQUARA;SP;22/05/2020;40%
ARARAS;SP;22/05/2020;42%
ARUJÁ;SP;22/05/2020;45%
ASSIS;SP;22/05/2020;42%
ATIBAIA;SP;22/05/2020;45%
AVARÉ;SP;22/05/2020;44%
BARRETOS;SP;22/05/2020;40%
BARUERI;SP;22/05/2020;43%
BAURU;SP;22/05/2020;41%
BEBEDOURO;SP;22/05/2020;51%
BIRIGUI;SP;22/05/2020;41%
BOTUCATU;SP;22/05/2020;41%
BRAGANÇA PAULISTA;SP;22/05/2020;41%
CAÇAPAVA;SP;22/05/2020;49%
CAIEIRAS;SP;22/05/2020;45%
CAJAMAR;SP;22/05/2020;44%
CAMPINAS;SP;22/05/2020;47%
CAMPO LIMPO PAULISTA;SP;22/05/2020;44%
CARAGUATATUBA;SP;22/05/2020;51%
CARAPICUÍBA;SP;22/05/2020;46%
CATANDUVA;SP;22/05/2020;40%
COTIA;SP;22/05/2020;48%
CRUZEIRO;SP;22/05/2020;51%
CUBATÃO;SP;22/05/2020;44%
DIADEMA;SP;22/05/2020;47%
FERRAZ DE VASCONCELOS;SP;22/05/2020;45%
FRANCA;SP;22/05/2020;45%
FRANCISCO MORATO;SP;22/05/2020;46%
FRANCO DA ROCHA;SP;22/05/2020;43%
GUARULHOS;SP;22/05/2020;46%
GUARATINGUETÁ;SP;22/05/2020;45%
GUARUJÁ;SP;22/05/2020;47%
HORTOLÂNDIA;SP;22/05/2020;44%
IBIÚNA;SP;22/05/2020;54%
INDAIATUBA;SP;22/05/2020;47%
ITANHAÉM;SP;22/05/2020;50%
ITAPECERICA DA SERRA;SP;22/05/2020;47%
ITAPETININGA;SP;22/05/2020;42%
ITAPEVA;SP;22/05/2020;40%
ITAPEVI;SP;22/05/2020;43%
ITAPIRA;SP;22/05/2020;46%
ITAQUAQUECETUBA;SP;22/05/2020;47%
ITATIBA;SP;22/05/2020;42%
ITU;SP;22/05/2020;43%
JABOTICABAL;SP;22/05/2020;44%
JACAREÍ;SP;22/05/2020;47%
JANDIRA;SP;22/05/2020;41%
JAÚ;SP;22/05/2020;41%
LEME;SP;22/05/2020;47%
JUNDIAÍ;SP;22/05/2020;41%
LIMEIRA;SP;22/05/2020;40%
LINS;SP;22/05/2020;43%
LORENA;SP;22/05/2020;49%
MAIRIPORÃ;SP;22/05/2020;50%
MARÍLIA;SP;22/05/2020;40%
MATÃO;SP;22/05/2020;43%
MAUÁ;SP;22/05/2020;46%
MOGI DAS CRUZES;SP;22/05/2020;49%
MOGI GUAÇU;SP;22/05/2020;44%
MOGI MIRIM;SP;22/05/2020;47%
OSASCO;SP;22/05/2020;46%
OURINHOS;SP;22/05/2020;40%
PAULÍNIA;SP;22/05/2020;45%
PRAIA GRANDE;SP;22/05/2020;47%
PINDAMONHANGABA;SP;22/05/2020;48%
PIRACICABA;SP;22/05/2020;41%
PIRASSUNUNGA;SP;22/05/2020;47%
POÁ;SP;22/05/2020;46%
RIBEIRÃO PIRES;SP;22/05/2020;49%
RIBEIRÃO PRETO;SP;22/05/2020;44%
RIO CLARO;SP;22/05/2020;42%
SALTO;SP;22/05/2020;42%
SANTA BÁRBARA D'OESTE;SP;22/05/2020;42%
SANTANA DE PARNAÍBA;SP;22/05/2020;50%
SANTO ANDRÉ;SP;22/05/2020;49%
SANTOS;SP;22/05/2020;46%
SÃO BERNARDO DO CAMPO;SP;22/05/2020;48%
SÃO CAETANO DO SUL;SP;22/05/2020;47%
SÃO CARLOS;SP;22/05/2020;47%
SÃO JOÃO DA BOA VISTA;SP;22/05/2020;49%
SÃO JOSÉ DO RIO PRETO;SP;22/05/2020;42%
SÃO JOSÉ DOS CAMPOS;SP;22/05/2020;48%
SÃO PAULO;SP;22/05/2020;49%
SÃO ROQUE;SP;22/05/2020;48%
SÃO SEBASTIÃO;SP;22/05/2020;62%
SÃO VICENTE;SP;22/05/2020;47%
SERTÃOZINHO;SP;22/05/2020;47%
SOROCABA;SP;22/05/2020;42%
SUMARÉ;SP;22/05/2020;44%
SUZANO;SP;22/05/2020;47%
TABOÃO DA SERRA;SP;22/05/2020;46%
TATUÍ;SP;22/05/2020;42%
TAUBATÉ;SP;22/05/2020;46%
UBATUBA;SP;22/05/2020;57%
VALINHOS;SP;22/05/2020;47%
VÁRZEA PAULISTA;SP;22/05/2020;41%
VINHEDO;SP;22/05/2020;49%
VOTORANTIM;SP;22/05/2020;44%
VOTUPORANGA;SP;22/05/2020;47%
PRESIDENTE PRUDENTE;SP;22/05/2020;38%
ESTADO DE SÃO PAULO;SP;22/05/2020;48%
EMBU DAS ARTES;SP;21/05/2020;50%
AMERICANA;SP;21/05/2020;44%
AMPARO;SP;21/05/2020;45%
ARAÇATUBA;SP;21/05/2020;40%
ARARAQUARA;SP;21/05/2020;41%
ARARAS;SP;21/05/2020;43%
ARUJÁ;SP;21/05/2020;46%
ASSIS;SP;21/05/2020;43%
ATIBAIA;SP;21/05/2020;44%
AVARÉ;SP;21/05/2020;45%
PRAIA GRANDE;SP;21/05/2020;49%
BARRETOS;SP;21/05/2020;42%
BARUERI;SP;21/05/2020;43%
BAURU;SP;21/05/2020;43%
BEBEDOURO;SP;21/05/2020;47%
BIRIGUI;SP;21/05/2020;43%
BOTUCATU;SP;21/05/2020;42%
BRAGANÇA PAULISTA;SP;21/05/2020;43%
CAÇAPAVA;SP;21/05/2020;51%
CAIEIRAS;SP;21/05/2020;47%
CAJAMAR;SP;21/05/2020;45%
CAMPINAS;SP;21/05/2020;47%
CAMPO LIMPO PAULISTA;SP;21/05/2020;43%
CARAGUATATUBA;SP;21/05/2020;52%
CARAPICUÍBA;SP;21/05/2020;46%
CATANDUVA;SP;21/05/2020;43%
COTIA;SP;21/05/2020;50%
CRUZEIRO;SP;21/05/2020;53%
CUBATÃO;SP;21/05/2020;45%
DIADEMA;SP;21/05/2020;45%
FERRAZ DE VASCONCELOS;SP;21/05/2020;45%
FRANCA;SP;21/05/2020;46%
FRANCISCO MORATO;SP;21/05/2020;48%
FRANCO DA ROCHA;SP;21/05/2020;44%
GUARULHOS;SP;21/05/2020;47%
GUARATINGUETÁ;SP;21/05/2020;46%
GUARUJÁ;SP;21/05/2020;49%
HORTOLÂNDIA;SP;21/05/2020;45%
IBIÚNA;SP;21/05/2020;54%
INDAIATUBA;SP;21/05/2020;48%
ITANHAÉM;SP;21/05/2020;51%
ITAPECERICA DA SERRA;SP;21/05/2020;49%
ITAPETININGA;SP;21/05/2020;44%
ITAPEVA;SP;21/05/2020;42%
ITAPEVI;SP;21/05/2020;43%
ITAPIRA;SP;21/05/2020;46%
ITAQUAQUECETUBA;SP;21/05/2020;46%
ITATIBA;SP;21/05/2020;43%
ITU;SP;21/05/2020;45%
JABOTICABAL;SP;21/05/2020;45%
JACAREÍ;SP;21/05/2020;48%
JANDIRA;SP;21/05/2020;42%
JAÚ;SP;21/05/2020;43%
LEME;SP;21/05/2020;48%
JUNDIAÍ;SP;21/05/2020;42%
LIMEIRA;SP;21/05/2020;42%
LINS;SP;21/05/2020;40%
LORENA;SP;21/05/2020;49%
MAIRIPORÃ;SP;21/05/2020;50%
MARÍLIA;SP;21/05/2020;42%
MATÃO;SP;21/05/2020;45%
MAUÁ;SP;21/05/2020;43%
MOGI DAS CRUZES;SP;21/05/2020;48%
MOGI GUAÇU;SP;21/05/2020;45%
MOGI MIRIM;SP;21/05/2020;49%
OSASCO;SP;21/05/2020;47%
OURINHOS;SP;21/05/2020;41%
PAULÍNIA;SP;21/05/2020;44%
PINDAMONHANGABA;SP;21/05/2020;49%
PIRACICABA;SP;21/05/2020;42%
PIRASSUNUNGA;SP;21/05/2020;48%
POÁ;SP;21/05/2020;44%
RIBEIRÃO PIRES;SP;21/05/2020;48%
RIBEIRÃO PRETO;SP;21/05/2020;46%
RIO CLARO;SP;21/05/2020;45%
SALTO;SP;21/05/2020;43%
SANTA BÁRBARA D'OESTE;SP;21/05/2020;42%
SANTANA DE PARNAÍBA;SP;21/05/2020;51%
SANTO ANDRÉ;SP;21/05/2020;48%
SANTOS;SP;21/05/2020;47%
SÃO BERNARDO DO CAMPO;SP;21/05/2020;47%
SÃO CAETANO DO SUL;SP;21/05/2020;47%
SÃO CARLOS;SP;21/05/2020;47%
SÃO JOÃO DA BOA VISTA;SP;21/05/2020;50%
SÃO JOSÉ DO RIO PRETO;SP;21/05/2020;44%
SÃO JOSÉ DOS CAMPOS;SP;21/05/2020;49%
SÃO PAULO;SP;21/05/2020;52%
SÃO ROQUE;SP;21/05/2020;50%
SÃO SEBASTIÃO;SP;21/05/2020;62%
SÃO VICENTE;SP;21/05/2020;49%
SERTÃOZINHO;SP;21/05/2020;46%
SOROCABA;SP;21/05/2020;43%
SUMARÉ;SP;21/05/2020;45%
SUZANO;SP;21/05/2020;46%
TABOÃO DA SERRA;SP;21/05/2020;48%
TATUÍ;SP;21/05/2020;43%
TAUBATÉ;SP;21/05/2020;47%
UBATUBA;SP;21/05/2020;58%
VALINHOS;SP;21/05/2020;47%
VÁRZEA PAULISTA;SP;21/05/2020;43%
VINHEDO;SP;21/05/2020;49%
VOTORANTIM;SP;21/05/2020;45%
VOTUPORANGA;SP;21/05/2020;46%
PRESIDENTE PRUDENTE;SP;21/05/2020;40%
ESTADO DE SÃO PAULO;SP;21/05/2020;49%
EMBU DAS ARTES;SP;20/05/2020;49%
AMERICANA;SP;20/05/2020;43%
AMPARO;SP;20/05/2020;44%
ARAÇATUBA;SP;20/05/2020;40%
ARARAQUARA;SP;20/05/2020;42%
ARARAS;SP;20/05/2020;43%
ARUJÁ;SP;20/05/2020;46%
ASSIS;SP;20/05/2020;43%
ATIBAIA;SP;20/05/2020;45%
AVARÉ;SP;20/05/2020;45%
BARRETOS;SP;20/05/2020;41%
BARUERI;SP;20/05/2020;43%
BAURU;SP;20/05/2020;42%
BEBEDOURO;SP;20/05/2020;48%
BIRIGUI;SP;20/05/2020;44%
BOTUCATU;SP;20/05/2020;41%
BRAGANÇA PAULISTA;SP;20/05/2020;43%
CAÇAPAVA;SP;20/05/2020;51%
CAIEIRAS;SP;20/05/2020;46%
CAJAMAR;SP;20/05/2020;44%
CAMPINAS;SP;20/05/2020;47%
CAMPO LIMPO PAULISTA;SP;20/05/2020;43%
CARAGUATATUBA;SP;20/05/2020;51%
CARAPICUÍBA;SP;20/05/2020;46%
CATANDUVA;SP;20/05/2020;42%
COTIA;SP;20/05/2020;48%
CRUZEIRO;SP;20/05/2020;52%
CUBATÃO;SP;20/05/2020;46%
DIADEMA;SP;20/05/2020;44%
FERRAZ DE VASCONCELOS;SP;20/05/2020;45%
FRANCA;SP;20/05/2020;46%
FRANCISCO MORATO;SP;20/05/2020;47%
FRANCO DA ROCHA;SP;20/05/2020;44%
PRAIA GRANDE;SP;20/05/2020;49%
GUARULHOS;SP;20/05/2020;47%
GUARATINGUETÁ;SP;20/05/2020;45%
GUARUJÁ;SP;20/05/2020;48%
HORTOLÂNDIA;SP;20/05/2020;44%
IBIÚNA;SP;20/05/2020;54%
INDAIATUBA;SP;20/05/2020;48%
ITANHAÉM;SP;20/05/2020;50%
ITAPECERICA DA SERRA;SP;20/05/2020;48%
ITAPETININGA;SP;20/05/2020;44%
ITAPEVA;SP;20/05/2020;41%
ITAPEVI;SP;20/05/2020;43%
ITAPIRA;SP;20/05/2020;46%
ITAQUAQUECETUBA;SP;20/05/2020;46%
ITATIBA;SP;20/05/2020;43%
ITU;SP;20/05/2020;44%
JABOTICABAL;SP;20/05/2020;45%
JACAREÍ;SP;20/05/2020;48%
JANDIRA;SP;20/05/2020;41%
JAÚ;SP;20/05/2020;43%
LEME;SP;20/05/2020;49%
JUNDIAÍ;SP;20/05/2020;42%
LIMEIRA;SP;20/05/2020;41%
LINS;SP;20/05/2020;42%
LORENA;SP;20/05/2020;47%
MAIRIPORÃ;SP;20/05/2020;49%
MARÍLIA;SP;20/05/2020;42%
MATÃO;SP;20/05/2020;45%
MAUÁ;SP;20/05/2020;44%
MOGI DAS CRUZES;SP;20/05/2020;47%
MOGI GUAÇU;SP;20/05/2020;44%
MOGI MIRIM;SP;20/05/2020;48%
OSASCO;SP;20/05/2020;47%
OURINHOS;SP;20/05/2020;40%
PAULÍNIA;SP;20/05/2020;43%
PINDAMONHANGABA;SP;20/05/2020;49%
PIRACICABA;SP;20/05/2020;42%
PIRASSUNUNGA;SP;20/05/2020;48%
POÁ;SP;20/05/2020;45%
RIBEIRÃO PIRES;SP;20/05/2020;47%
RIBEIRÃO PRETO;SP;20/05/2020;46%
RIO CLARO;SP;20/05/2020;45%
SALTO;SP;20/05/2020;43%
SANTA BÁRBARA D'OESTE;SP;20/05/2020;43%
